"id","city","date","player_of_match","venue","neutral_venue","team1","team2","toss_winner","toss_decision"
335982,"Bangalore","2008-04-18","BB McCullum","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore","field"
335983,"Chandigarh","2008-04-19","MEK Hussey","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","bat"
335984,"Delhi","2008-04-19","MF Maharoof","Feroz Shah Kotla",0,"Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","bat"
335985,"Mumbai","2008-04-20","MV Boucher","Wankhede Stadium",0,"Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat"
335986,"Kolkata","2008-04-20","DJ Hussey","Eden Gardens",0,"Kolkata Knight Riders","Deccan Chargers","Deccan Chargers","bat"
335987,"Jaipur","2008-04-21","SR Watson","Sawai Mansingh Stadium",0,"Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","bat"
335988,"Hyderabad","2008-04-22","V Sehwag","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat"
335989,"Chennai","2008-04-23","ML Hayden","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Mumbai Indians","Mumbai Indians","field"
335990,"Hyderabad","2008-04-24","YK Pathan","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field"
335991,"Chandigarh","2008-04-25","KC Sangakkara","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Mumbai Indians","Mumbai Indians","field"
335992,"Bangalore","2008-04-26","SR Watson","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field"
335993,"Chennai","2008-04-26","JDP Oram","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","bat"
335994,"Mumbai","2008-04-27","AC Gilchrist","Dr DY Patil Sports Academy",0,"Mumbai Indians","Deccan Chargers","Deccan Chargers","field"
335995,"Chandigarh","2008-04-27","SM Katich","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","bat"
335996,"Bangalore","2008-04-28","MS Dhoni","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","bat"
335997,"Kolkata","2008-04-29","ST Jayasuriya","Eden Gardens",0,"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat"
335998,"Delhi","2008-04-30","GD McGrath","Feroz Shah Kotla",0,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field"
335999,"Hyderabad","2008-05-01","SE Marsh","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field"
336000,"Jaipur","2008-05-01","SA Asnodkar","Sawai Mansingh Stadium",0,"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat"
336001,"Chennai","2008-05-02","V Sehwag","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat"
336002,"Hyderabad","2008-05-25","R Vinay Kumar","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Royal Challengers Bangalore","Deccan Chargers","bat"
336003,"Chandigarh","2008-05-03","IK Pathan","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat"
336004,"Mumbai","2008-05-04","SM Pollock","Dr DY Patil Sports Academy",0,"Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field"
336005,"Jaipur","2008-05-04","Sohail Tanvir","Sawai Mansingh Stadium",0,"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","bat"
336006,"Bangalore","2008-05-05","S Sreesanth","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field"
336007,"Chennai","2008-05-06","AC Gilchrist","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Deccan Chargers","Deccan Chargers","field"
336008,"Mumbai","2008-05-07","A Nehra","Dr DY Patil Sports Academy",0,"Mumbai Indians","Rajasthan Royals","Mumbai Indians","field"
336009,"Delhi","2008-05-08","MS Dhoni","Feroz Shah Kotla",0,"Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","field"
336010,"Kolkata","2008-05-08","SC Ganguly","Eden Gardens",0,"Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders","bat"
336011,"Jaipur","2008-05-09","YK Pathan","Sawai Mansingh Stadium",0,"Rajasthan Royals","Deccan Chargers","Rajasthan Royals","field"
336012,"Bangalore","2008-05-28","CRD Fernando","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field"
336013,"Chennai","2008-05-10","L Balaji","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","field"
336014,"Hyderabad","2008-05-11","SC Ganguly","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","bat"
336015,"Jaipur","2008-05-11","SR Watson","Sawai Mansingh Stadium",0,"Rajasthan Royals","Delhi Daredevils","Rajasthan Royals","field"
336016,"Chandigarh","2008-05-12","SE Marsh","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","bat"
336017,"Kolkata","2008-05-13","Shoaib Akhtar","Eden Gardens",0,"Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat"
336018,"Mumbai","2008-05-14","ST Jayasuriya","Wankhede Stadium",0,"Mumbai Indians","Chennai Super Kings","Mumbai Indians","field"
336019,"Chandigarh","2008-05-28","SE Marsh","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field"
336020,"Delhi","2008-05-15","A Mishra","Feroz Shah Kotla",0,"Delhi Daredevils","Deccan Chargers","Deccan Chargers","field"
336021,"Mumbai","2008-05-16","SM Pollock","Wankhede Stadium",0,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","field"
336022,"Delhi","2008-05-17","DPMD Jayawardene","Feroz Shah Kotla",0,"Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat"
336023,"Jaipur","2008-05-17","GC Smith","Sawai Mansingh Stadium",0,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field"
336024,"Hyderabad","2008-05-18","DJ Bravo","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Mumbai Indians","Deccan Chargers","field"
336025,"Kolkata","2008-05-18","M Ntini","Eden Gardens",0,"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat"
336026,"Bangalore","2008-05-19","SP Goswami","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils","field"
336027,"Kolkata","2008-05-20","YK Pathan","Eden Gardens",0,"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","field"
336028,"Mumbai","2008-05-21","SE Marsh","Wankhede Stadium",0,"Mumbai Indians","Kings XI Punjab","Mumbai Indians","field"
336029,"Chennai","2008-05-21","A Kumble","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","bat"
336031,"Chandigarh","2008-05-23","SE Marsh","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Deccan Chargers","Kings XI Punjab","field"
336032,"Delhi","2008-05-24","KD Karthik","Feroz Shah Kotla",0,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils","field"
336033,"Chennai","2008-05-24","JA Morkel","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat"
336034,"Bangalore","2008-05-03","P Kumar","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers","field"
336035,"Kolkata","2008-05-25","Umar Gul","Eden Gardens",0,"Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab","bat"
336036,"Jaipur","2008-05-26","Sohail Tanvir","Sawai Mansingh Stadium",0,"Rajasthan Royals","Mumbai Indians","Rajasthan Royals","field"
336037,"Hyderabad","2008-05-27","SK Raina","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Chennai Super Kings","Deccan Chargers","bat"
336038,"Mumbai","2008-05-30","SR Watson","Wankhede Stadium",0,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","field"
336039,"Mumbai","2008-05-31","M Ntini","Wankhede Stadium",0,"Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","bat"
336040,"Mumbai","2008-06-01","YK Pathan","Dr DY Patil Sports Academy",0,"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field"
392181,"Cape Town","2009-04-18","SR Tendulkar","Newlands",1,"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","field"
392182,"Cape Town","2009-04-18","R Dravid","Newlands",1,"Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore","bat"
392183,"Cape Town","2009-04-19","DL Vettori","Newlands",1,"Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","field"
392184,"Cape Town","2009-04-19","RP Singh","Newlands",1,"Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","bat"
392185,"Port Elizabeth","2009-04-20","M Muralitharan","St George's Park",1,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","bat"
392186,"Durban","2009-04-21","CH Gayle","Kingsmead",1,"Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field"
392188,"Cape Town","2009-04-22","AC Gilchrist","Newlands",1,"Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers","bat"
392189,"Durban","2009-04-23","AB de Villiers","Kingsmead",1,"Chennai Super Kings","Delhi Daredevils","Delhi Daredevils","bat"
